date,year,month,price,price_yoy_%,time_index
2023-01-01,2023,1,371599.46780781343,,0
2023-02-01,2023,2,359616.5099262621,,1
2023-03-01,2023,3,374182.65416420926,,2
2023-04-01,2023,4,373402.73678294226,,3
2023-05-01,2023,5,363109.34185166913,,4
2023-06-01,2023,6,369278.2063172808,,5
2023-07-01,2023,7,374410.8198482668,,6
2023-08-01,2023,8,379083.4985177429,,7
2023-09-01,2023,9,378837.12529638695,,8
2023-10-01,2023,10,372272.3184113624,,9
2023-11-01,2023,11,364625.2162077852,,10
2023-12-01,2023,12,370573.0576570317,,11
2024-01-01,2024,1,366605.5310139129,-1.3439031071172836,12
2024-02-01,2024,2,358795.346253272,-0.22834426404907404,13
2024-03-01,2024,3,360395.4411873994,-3.6846210863530238,14
2024-04-01,2024,4,370717.8205366837,-0.7190403234294651,15
2024-05-01,2024,5,367717.6063605345,1.269112076644907,16
2024-06-01,2024,6,363567.52467856766,-1.5464442637068587,17
2024-07-01,2024,7,377457.26685292996,0.8136642541200612,18
2024-08-01,2024,8,380293.0659840206,0.31907679205431805,19
2024-09-01,2024,9,380752.18703210255,0.5055105764033341,20
2024-10-01,2024,10,391784.65983450034,5.241416151059797,21
2024-11-01,2024,11,362623.1850417163,-0.5490654724570665,22
2024-12-01,2024,12,364681.2446161936,-1.589919428597808,23
2025-01-01,2025,1,376506.6550187757,2.7007568536894233,24
2025-02-01,2025,2,367354.42962529435,2.3855056821111997,25
2025-03-01,2025,3,381920.9233094695,5.972739846860953,26
2025-04-01,2025,4,332928.57523082185,-10.193533521305998,27
2025-05-01,2025,5,345971.5582552133,-5.913790291564103,28
2025-06-01,2025,6,351404.95885741554,-3.345338897335548,29
2025-07-01,2025,7,369340.5016894733,-2.150379890982268,30
2025-08-01,2025,8,370208.23442131915,-2.6518578603600407,31
2025-09-01,2025,9,355334.8682990067,-6.675554231538216,32
2025-10-01,2025,10,335842.52794780507,-14.278795885047323,33
2025-11-01,2025,11,339717.3577135833,-6.316702371222604,34
2025-12-01,2025,12,339725.10931470525,-6.843273590270115,35
